CG10130,Sec61beta,Sec61beta,FBgn0010638,RH61539,picdata/27/insitu38489_s.bmp,2,lateral,,low
CG10132,CG10132,CG10132,FBgn0032798,LP04395,picdata/9/insitu67517_s.bmp,1,lateral,,low
CG10132,CG10132,CG10132,FBgn0032798,LP04395,picdata/9/insitu67519_s.bmp,1,lateral,,low
CG10132,CG10132,CG10132,FBgn0032798,LP04395-tf,picdata/9/insitu67518_s.bmp,1,lateral,,low
CG10133,CG10133,CG10133,FBgn0036366,GH14974-dg,picdata/29/insitu26196_s.bmp,6,lateral,,low
CG10133,CG10133,CG10133,FBgn0036366,GH14974-dg,picdata/29/insitu26197_s.bmp,1,,,
CG10133,CG10133,CG10133,FBgn0036366,GH14974-dg,picdata/29/insitu26195_s.bmp,1,,,
CG10134,beat-Va,beat-Va,FBgn0038087,IP01704,picdata/11/insitu17610_s.bmp,1,dorsal,,
CG10134,beat-Va,beat-Va,FBgn0038087,IP01704,picdata/11/insitu17612_s.bmp,1,dorsal,,
CG10134,beat-Va,beat-Va,FBgn0038087,IP01704,picdata/11/insitu17613_s.bmp,1,dorsal,,
CG10134,beat-Va,beat-Va,FBgn0038087,IP01704,picdata/11/insitu17611_s.bmp,2,dorsal,,
CG10137,CG10137,CG10137,FBgn0032800,GH24474-dg,picdata/42/insitu38488_s.bmp,6,lateral,,
CG10137,CG10137,CG10137,FBgn0032800,GH24474-dg,picdata/42/insitu38490_s.bmp,6,ventral,,
CG10137,CG10137,CG10137,FBgn0032800,GH24474-dg,picdata/42/insitu38489_s.bmp,1,,,
CG10138,PpD5,PpD5,FBgn0005778,GH12873,picdata/7/insitu18718_s.bmp,1,lateral,,low
CG10138,PpD5,PpD5,FBgn0005778,GH12873,picdata/7/insitu18723_s.bmp,2,lateral,,low
CG10138,PpD5,PpD5,FBgn0005778,GH12873,picdata/7/insitu18722_s.bmp,2,lateral,,low
CG10138,PpD5,PpD5,FBgn0005778,GH12873,picdata/7/insitu18713_s.bmp,3,lateral,AP_inverted,low
CG10138,PpD5,PpD5,FBgn0005778,GH12873,picdata/7/insitu18715_s.bmp,4,dorsal,AP_inverted,low
CG10138,PpD5,PpD5,FBgn0005778,GH12873,picdata/7/insitu18714_s.bmp,4,lateral,,low
CG10140,CG10140,CG10140,FBgn0036363,IP06701,picdata/16/insitu65915_s.bmp,1,dorsal,,
CG10140,CG10140,CG10140,FBgn0036363,IP06701,picdata/16/insitu65917_s.bmp,2,lateral,,
CG10140,CG10140,CG10140,FBgn0036363,IP06701,picdata/16/insitu65916_s.bmp,3,lateral,,
CG10140,CG10140,CG10140,FBgn0036363,IP06701,picdata/16/insitu65918_s.bmp,3,lateral,,
CG10140,CG10140,CG10140,FBgn0036363,IP06701,picdata/16/insitu65925_s.bmp,4,lateral,,
CG10140,CG10140,CG10140,FBgn0036363,IP06701,picdata/16/insitu65923_s.bmp,4,dorsal,,
CG10140,CG10140,CG10140,FBgn0036363,IP06701,picdata/16/insitu65921_s.bmp,5,dorsal,,
CG10140,CG10140,CG10140,FBgn0036363,IP06701,picdata/16/insitu65926_s.bmp,6,lateral,,
CG10140,CG10140,CG10140,FBgn0036363,IP06701,picdata/16/insitu65924_s.bmp,6,dorsal,,
CG10140,CG10140,CG10140,FBgn0036363,IP06701,picdata/16/insitu65919_s.bmp,1,dorsal,,
